,island,sent_number,token,critical,surprisal
0,0,1,書い,0,10.493671417236300
1,0,1,た,0,2.1517794132232700
2,0,1,エッセー,0,12.994946479797400
3,0,1,が,0,2.4541451930999800
4,0,1,作家,0,10.407364845275900
5,0,1,に,0,1.8417967557907100
6,0,1,称賛,0,10.037618637085000
7,0,1,さ,0,2.1406943798065200
8,0,1,れ,0,0.3596508204936980
9,0,1,た,0,0.8651285171508790
10,0,1,の,0,3.90342378616333
11,0,1,で,0,12.569183349609400
12,0,1,、,0,3.8976755142211900
13,0,1,女性,1,6.928989887237550
14,0,1,議員,1,8.812305450439450
15,0,1,は,1,2.393867015838620
16,0,1,感謝,1,9.509958267211910
17,0,1,を,1,2.9357128143310500
18,0,1,述べ,1,7.760993957519530
19,0,1,た,1,0.9741498827934270
20,0,1,。,1,0.4656161367893220
21,0,1,</s>,1,2.5088770389556900
0,0,2,書い,0,10.493671417236300
1,0,2,た,0,2.1517794132232700
2,0,2,論文,0,9.319146156311040
3,0,2,が,0,2.3420779705047600
4,0,2,世界,0,6.557899475097660
5,0,2,中,0,11.291378021240200
6,0,2,の,0,2.095888614654540
7,0,2,学者,0,10.272401809692400
8,0,2,から,0,4.668635368347170
9,0,2,注目,0,7.7907304763793900
10,0,2,さ,0,1.6762971878051800
11,0,2,れ,0,0.3069548010826110
12,0,2,た,0,1.031294822692870
13,0,2,の,0,3.7449047565460200
14,0,2,で,0,12.676198959350600
15,0,2,、,0,3.9311726093292200
16,0,2,教授,1,9.533371925354000
17,0,2,は,1,2.2354283332824700
18,0,2,多忙,1,10.988965034484900
19,0,2,を,1,2.805306911468510
20,0,2,極め,1,9.54172420501709
21,0,2,た,1,1.0013022422790500
22,0,2,。,1,0.6549670100212100
23,0,2,</s>,1,2.7305572032928500
0,0,3,購入,0,9.073211669921880
1,0,3,し,0,3.928090810775760
2,0,3,た,0,1.2657066583633400
3,0,3,絵画,0,9.546480178833010
4,0,3,が,0,2.374652862548830
5,0,3,先日,0,10.871301651001000
6,0,3,公表,0,10.127542495727500
7,0,3,さ,0,2.755241870880130
8,0,3,れ,0,0.28028300404548600
9,0,3,た,0,1.0469155311584500
10,0,3,の,0,4.066254615783690
11,0,3,で,0,12.801765441894500
12,0,3,、,0,3.821899652481080
13,0,3,美術,1,8.115299224853520
14,0,3,館,1,12.154749870300300
15,0,3,長,1,6.357962608337400
16,0,3,は,1,1.8280218839645400
17,0,3,展示,1,8.811836242675780
18,0,3,会,1,7.085021018981930
19,0,3,を,1,2.468790054321290
20,0,3,計画,1,8.460460662841800
21,0,3,し,1,1.0647039413452100
22,0,3,た,1,1.1378324031829800
23,0,3,。,1,0.3936479687690740
24,0,3,</s>,1,2.8566830158233600
